case,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
D_e1e2,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_e1e3,1,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0
D_e1e4,1,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
D_e1e5,1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0
D_e1e6,1,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0
D_e1e7,1,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0
D_e1e8,1,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0
D_e1e9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
D_e2e3,0.0,1,-1,0.0,0.0,0.0,0.0,0.0,0.0
D_e2e4,0.0,1,0.0,-1,0.0,0.0,0.0,0.0,0.0
D_e2e5,0.0,1,0.0,0.0,-1,0.0,0.0,0.0,0.0
D_e2e6,0.0,1,0.0,0.0,0.0,-1,0.0,0.0,0.0
D_e2e7,0.0,1,0.0,0.0,0.0,0.0,-1,0.0,0.0
D_e2e8,0.0,1,0.0,0.0,0.0,0.0,0.0,-1,0.0
D_e2e9,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1
D_e3e4,0.0,0.0,1,-1,0.0,0.0,0.0,0.0,0.0
D_e3e5,0.0,0.0,1,0.0,-1,0.0,0.0,0.0,0.0
D_e3e6,0.0,0.0,1,0.0,0.0,-1,0.0,0.0,0.0
D_e3e7,0.0,0.0,1,0.0,0.0,0.0,-1,0.0,0.0
D_e3e8,0.0,0.0,1,0.0,0.0,0.0,0.0,-1,0.0
D_e3e9,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,-1
D_e4e5,0.0,0.0,0.0,1,-1,0.0,0.0,0.0,0.0
D_e4e6,0.0,0.0,0.0,1,0.0,-1,0.0,0.0,0.0
D_e4e7,0.0,0.0,0.0,1,0.0,0.0,-1,0.0,0.0
D_e4e8,0.0,0.0,0.0,1,0.0,0.0,0.0,-1,0.0
D_e4e9,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,-1
D_e5e6,0.0,0.0,0.0,0.0,1,-1,0.0,0.0,0.0
D_e5e7,0.0,0.0,0.0,0.0,1,0.0,-1,0.0,0.0
D_e5e8,0.0,0.0,0.0,0.0,1,0.0,0.0,-1,0.0
D_e5e9,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,-1
D_e6e7,0.0,0.0,0.0,0.0,0.0,1,-1,0.0,0.0
D_e6e8,0.0,0.0,0.0,0.0,0.0,1,0.0,-1,0.0
D_e6e9,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1
D_e7e8,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,0.0
D_e7e9,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-1
D_e8e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1
